TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
RECIFE/CUMARU (VIA LIMOEIRO);CONVENCIONAL;128km;R$:36,83 2022.1.804.11006
RECIFE/PASSIRA;CONVENCIONAL;116km;R$:33,38 
RECIFE/RIBEIRO DO MEL;CONVENCIONAL;90km;R$:25,90 
RECIFE/LIMOEIRO;CONVENCIONAL;84,6km;R$:24,34 
RECIFE/LAGOA DO CARRO;CONVENCIONAL;66,3km;R$:19,08 
RECIFE/CARPINA;CONVENCIONAL;60,4km;R$:17,38 
RECIFE/PAUDALHO;CONVENCIONAL;47,3km;R$:13,61 
RECIFE/BICOPEBA;CONVENCIONAL;43km;R$:12,37 
CAMARAGIBE/CUMARU;CONVENCIONAL;113km;R$:32,52 
CAMARAGIBE/PASSIRA;CONVENCIONAL;101km;R$:29,06 
CAMARAGIBE/RIBEIRO DO MEL;CONVENCIONAL;75km;R$:21,58 
CAMARAGIBE/LIMOEIRO;CONVENCIONAL;69,6km;R$:20,03 
CAMARAGIBE/LAGOA DO CARRO;CONVENCIONAL;51,3km;R$:14,76 
CAMARAGIBE/CARPINA;CONVENCIONAL;45,4km;R$:13,06 
CAMARAGIBE/PAUDALHO;CONVENCIONAL;32,3km;R$:9,29 
CAMARAGIBE/BICOPEBA;CONVENCIONAL;28km;R$:8,06 
SÃO LOURENÇO/CUMARU;CONVENCIONAL;105km;R$:30,21 
SÃO LOURENÇO/PASSIRA;CONVENCIONAL;93km;R$:26,76 
SÃO LOURENÇO/RIBEIRO DO MEL;CONVENCIONAL;67km;R$:19,28 
SÃO LOURENÇO/LIMOEIRO;CONVENCIONAL;61,6km;R$:17,73 
SÃO LOURENÇO/LAGOA DO CARRO;CONVENCIONAL;43,3km;R$:12,46 
SÃO LOURENÇO/CARPINA;CONVENCIONAL;37,4km;R$:10,76 
SÃO LOURENÇO/PAUDALHO;CONVENCIONAL;24,3km;R$:6,99 
SÃO LOURENÇO/BICOPEBA;CONVENCIONAL;20km;R$:5,76 
BICOPEBA/CUMARU;CONVENCIONAL;85km;R$:24,46 
BICOPEBA/PASSIRA;CONVENCIONAL;73km;R$:21,01 
